ip_addr,port,ip version,end point,count,sum of frame size,packet/s,Throughput,
158.108.155.210,20480,0,0,2049.0,134631.0,34.15,2243.85,
158.108.247.135,20480,0,0,2044.0,130500.0,34.0666666666667,2175.0,
158.108.108.199,4672,0,0,2027.0,1409003.0,33.7833333333333,23483.3833333333,
110.77.196.114,4672,0,1,2027.0,1409003.0,33.7833333333333,23483.3833333333,
173.194.49.110,49130,0,1,2021.0,122630.0,33.6833333333333,2043.83333333333,
202.28.85.12,61632,0,0,2014.0,2951952.0,33.5666666666667,49199.2,
74.125.96.214,53157,0,1,2010.0,128139.0,33.5,2135.65,
173.194.49.110,51690,0,1,2003.0,121588.0,33.3833333333333,2026.46666666667,
180.183.55.251,11761,0,0,1991.0,135022.0,33.1833333333333,2250.36666666667,
158.108.40.177,43085,0,1,1991.0,135022.0,33.1833333333333,2250.36666666667,
173.194.49.110,51946,0,1,1989.0,121062.0,33.15,2017.7,
158.108.154.178,20480,0,0,1988.0,122050.0,33.1333333333333,2034.16666666667,
202.28.85.79,49100,0,0,1985.0,2757678.0,33.0833333333333,45961.3,
202.28.85.79,41975,0,1,1976.0,121330.0,32.9333333333333,2022.16666666667,
158.108.219.162,5991,0,1,1973.0,147481.0,32.8833333333333,2458.01666666667,
202.28.85.12,63725,0,1,1960.0,119238.0,32.6666666666667,1987.3,
173.194.49.110,49386,0,1,1941.0,117530.0,32.35,1958.83333333333,
173.194.49.110,52202,0,1,1925.0,118032.0,32.0833333333333,1967.2,
220.87.146.23,38649,0,0,1918.0,2769592.0,31.9666666666667,46159.8666666667,
158.108.96.210,58318,0,1,1918.0,2769592.0,31.9666666666667,46159.8666666667,
124.121.4.251,31985,0,0,1888.0,1455434.0,31.4666666666667,24257.2333333333,
158.108.15.9,45311,0,1,1888.0,1455434.0,31.4666666666667,24257.2333333333,
101.109.199.215,20480,0,0,1866.0,258423.0,31.1,4307.05,
158.108.167.22,20480,0,0,1861.0,125682.0,31.0166666666667,2094.7,
101.109.199.215,20480,0,1,1854.0,1844264.0,30.9,30737.7333333333,
158.108.134.83,47873,0,1,1845.0,124947.0,30.75,2082.45,
158.108.12.52,20480,0,0,1841.0,167547.0,30.6833333333333,2792.45,
173.194.49.110,52458,0,1,1840.0,110400.0,30.6666666666667,1840.0,
207.46.101.12,48363,0,0,1831.0,120846.0,30.5166666666667,2014.1,
158.108.226.246,20480,0,0,1827.0,206909.0,30.45,3448.48333333333,
158.108.133.79,20480,0,0,1824.0,116382.0,30.4,1939.7,
74.125.96.198,20420,0,1,1824.0,116382.0,30.4,1939.7,
158.108.96.210,58318,0,0,1821.0,117251.0,30.35,1954.18333333333,
220.87.146.23,38649,0,1,1821.0,117251.0,30.35,1954.18333333333,
158.108.98.212,20480,0,0,1802.0,110993.0,30.0333333333333,1849.88333333333,
173.194.4.208,3526,0,1,1798.0,107880.0,29.9666666666667,1798.0,
158.108.232.173,20480,0,0,1760.0,128696.0,29.3333333333333,2144.93333333333,
158.108.14.245,20480,0,0,1749.0,109458.0,29.15,1824.3,
202.28.85.12,8668,0,1,1739.0,107128.0,28.9833333333333,1785.46666666667,
158.108.147.9,20480,0,0,1738.0,109684.0,28.9666666666667,1828.06666666667,
74.125.10.82,31467,0,1,1738.0,109684.0,28.9666666666667,1828.06666666667,
202.28.85.14,16909,0,1,1723.0,114898.0,28.7166666666667,1914.96666666667,
202.28.85.12,62445,0,1,1711.0,102684.0,28.5166666666667,1711.4,
202.28.85.12,1298,0,1,1699.0,106686.0,28.3166666666667,1778.1,
158.108.230.123,14636,0,0,1696.0,1218525.0,28.2666666666667,20308.75,
183.88.43.76,1554,0,1,1696.0,1218525.0,28.2666666666667,20308.75,
158.108.154.184,20480,0,0,1688.0,117985.0,28.1333333333333,1966.41666666667,
74.125.96.240,10730,0,1,1686.0,102144.0,28.1,1702.4,
203.155.220.231,62914,0,1,1684.0,118108.0,28.0666666666667,1968.46666666667,
158.108.230.169,20480,0,0,1654.0,101775.0,27.5666666666667,1696.25,
202.28.85.14,17165,0,1,1652.0,122138.0,27.5333333333333,2035.63333333333,
173.194.49.72,64009,0,1,1651.0,100344.0,27.5166666666667,1672.4,
158.108.207.231,20480,0,0,1637.0,356482.0,27.2833333333333,5941.36666666667,
171.5.250.230,16345,0,0,1610.0,105550.0,26.8333333333333,1759.16666666667,
158.108.37.180,51241,0,1,1610.0,105550.0,26.8333333333333,1759.16666666667,
158.108.181.231,20480,0,0,1600.0,100869.0,26.6666666666667,1681.15,
61.19.12.24,10951,0,1,1600.0,100869.0,26.6666666666667,1681.15,
158.108.124.34,47873,0,0,1595.0,136733.0,26.5833333333333,2278.88333333333,
158.108.225.26,16415,0,0,1587.0,163461.0,26.45,2724.35,
158.108.181.46,56319,0,0,1584.0,1565609.0,26.4,26093.4833333333,
162.205.162.186,32489,0,1,1584.0,1565609.0,26.4,26093.4833333333,
202.28.85.15,12539,0,1,1577.0,103798.0,26.2833333333333,1729.96666666667,
158.108.98.39,20480,0,0,1565.0,97080.0,26.0833333333333,1618.0,
74.125.96.230,23234,0,1,1565.0,97080.0,26.0833333333333,1618.0,
158.108.167.40,20480,0,0,1555.0,248327.0,25.9166666666667,4138.78333333333,
158.108.67.44,44357,0,0,1543.0,2245190.0,25.7166666666667,37419.8333333333,
223.206.245.64,29058,0,1,1543.0,2245190.0,25.7166666666667,37419.8333333333,
158.108.44.175,20480,0,0,1541.0,96744.0,25.6833333333333,1612.4,
136.179.0.103,25812,0,1,1532.0,91920.0,25.5333333333333,1532.0,
173.194.49.119,3076,0,1,1524.0,95495.0,25.4,1591.58333333333,
202.28.85.76,44555,0,1,1523.0,108133.0,25.3833333333333,1802.21666666667,
192.229.145.163,13039,0,1,1518.0,95364.0,25.3,1589.4,
180.183.161.191,29058,0,0,1498.0,93722.0,24.9666666666667,1562.03333333333,
158.108.67.44,21877,0,1,1498.0,93722.0,24.9666666666667,1562.03333333333,
82.231.221.17,20480,0,0,1489.0,143219.0,24.8166666666667,2386.98333333333,
